t;Extract;Cext;Cag;Rt;A_405;A_450;A_492;A_630
0;A;0.7;1;10;0.252;0.268;0.257;0.27
0;A;0.7;2;10;0.257;0.289;0.267;0.289
0;A;0.7;3;10;0.264;0.297;0.284;0.295
0;A;0.7;4;10;0.252;0.311;0.297;0.321
0;A;0.7;5;10;0.266;0.308;0.3;0.313
0;A;0.7;1;10;0.18;0.202;0.204;0.203
0;A;0.7;2;10;0.139;0.161;0.171;0.17
0;A;0.7;3;10;0.224;0.257;0.262;0.259
0;A;0.7;4;10;0.183;0.237;0.239;0.245
0;A;0.7;5;10;0.205;0.235;0.243;0.251
0;A;0.7;1;80;0.4;0.478;0.475;0.496
0;A;0.7;2;80;0.348;0.494;0.498;0.526
0;A;0.7;3;80;0.448;0.683;0.695;0.729
0;A;0.7;4;80;0.649;1.027;1.052;1.081
0;A;0.7;5;80;0.669;1.066;1.084;1.094
0;A;0.7;1;80;0.253;0.306;0.319;0.322
0;A;0.7;2;80;0.324;0.466;0.483;0.5
0;A;0.7;3;80;0.311;0.524;0.559;0.587
0;A;0.7;4;80;0.593;0.993;1.029;1.062
0;A;0.7;5;80;0.666;1.097;1.115;1.125
0;A;0.7;1;40;0.235;0.279;0.273;0.283
0;A;0.7;2;40;0.268;0.349;0.35;0.369
0;A;0.7;3;40;0.389;0.554;0.553;0.557
0;A;0.7;4;40;0.513;0.71;0.703;0.714
0;A;0.7;5;40;0.378;0.574;0.586;0.606
0;A;0.7;1;40;0.176;0.206;0.208;0.205
0;A;0.7;2;40;0.209;0.28;0.287;0.292
0;A;0.7;3;40;0.308;0.485;0.498;0.502
0;A;0.7;4;40;0.402;0.619;0.626;0.634
0;A;0.7;5;40;0.314;0.509;0.522;0.528
0;A;0.7;1;100;0.294;0.371;0.371;0.382
0;A;0.7;2;100;0.357;0.52;0.525;0.55
0;A;0.7;3;100;0.467;0.726;0.73;0.762
0;A;0.7;4;100;0.602;1.028;1.068;1.094
0;A;0.7;5;100;0.744;1.145;1.16;1.175
0;A;0.7;1;100;0.251;0.324;0.343;0.366
0;A;0.7;2;100;0.348;0.505;0.521;0.538
0;A;0.7;3;100;0.388;0.629;0.684;0.675
0;A;0.7;4;100;0.56;1.005;1.044;1.065
0;A;0.7;5;100;0.167;1.189;1.223;1.244
10;A;0.7;1;10;0.262;0.274;0.273;0.273
10;A;0.7;2;10;0.287;0.31;0.311;0.311
10;A;0.7;3;10;0.292;0.317;0.32;0.32
10;A;0.7;4;10;0.315;0.355;0.358;0.358
10;A;0.7;5;10;0.315;0.345;0.347;0.347
10;A;0.7;1;10;0.208;0.229;0.23;0.23
10;A;0.7;2;10;0.188;0.203;0.201;0.201
10;A;0.7;3;10;0.265;0.289;0.288;0.288
10;A;0.7;4;10;0.249;0.283;0.283;0.283
10;A;0.7;5;10;0.254;0.274;0.277;0.277
