t;Extract;Cag;Rt;A_405;A_450;A_492;A_630
0;leaves;1;10;0.221;0.207;0.256;0.22
0;leaves;2;10;0.234;0.213;0.258;0.225
0;leaves;3;10;0.256;0.242;0.276;0.253
0;leaves;4;10;0.206;0.197;0.239;0.207
0;leaves;1;10;0.205;0.189;0.231;0.198
0;leaves;2;10;0.184;0.164;0.2;0.168
0;leaves;3;10;0.18;0.168;0.196;0.172
0;leaves;4;10;0.152;0.144;0.176;0.152
0;leaves;1;40;0.248;0.235;0.283;0.242
0;leaves;2;40;0.295;0.274;0.319;0.284
0;leaves;3;40;0.258;0.245;0.283;0.254
0;leaves;4;40;0.294;0.285;0.307;0.293
0;leaves;1;40;0.267;0.258;0.275;0.251
0;leaves;2;40;0.294;0.276;0.305;0.276
0;leaves;3;40;0.288;0.272;0.302;0.273
0;leaves;4;40;0.277;0.272;0.285;0.257
0;leaves;1;80;0.347;0.328;0.38;0.34
0;leaves;2;80;0.369;0.345;0.395;0.357
0;leaves;3;80;0.374;0.358;0.404;0.371
0;leaves;4;80;0.384;0.367;0.415;0.376
0;leaves;1;80;0.316;0.31;0.329;0.306
0;leaves;2;80;0.355;0.339;0.355;0.336
0;leaves;3;80;0.359;0.351;0.368;0.353
0;leaves;4;80;0.335;0.318;0.349;0.319
0;leaves;1;100;0.347;0.339;0.364;0.344
0;leaves;2;100;0.499;0.486;0.504;0.491
0;leaves;3;100;0.401;0.4;0.415;0.406
0;leaves;4;100;0.455;0.442;0.48;0.451
0;leaves;1;100;0.342;0.327;0.378;0.334
0;leaves;2;100;0.379;0.364;0.403;0.372
0;leaves;3;100;0.389;0.384;0.42;0.393
0;leaves;4;100;0.414;0.406;0.455;0.409
0;B;1;10;0.223;0.211;0.243;0.222
0;B;2;10;0.635;0.596;0.625;0.616
0;B;3;10;0.388;0.335;0.358;0.353
0;B;4;10;0.342;0.347;0.379;0.372
0;B;1;10;0.281;0.268;0.297;0.276
0;B;2;10;0.116;0.107;0.124;0.107
0;B;3;10;0.388;0.385;0.41;0.391
0;B;4;10;0.424;0.402;0.431;0.412
0;B;1;40;0.362;0.359;0.402;0.384
0;B;2;40;0.722;0.712;0.751;0.742
0;B;3;40;0.718;0.732;0.779;0.778
0;B;4;40;0.836;0.884;0.965;0.984
0;B;1;40;0.401;0.398;0.436;0.418
0;B;2;40;0.647;0.63;0.654;0.653
0;B;3;40;0.76;0.763;0.806;0.804
0;B;4;40;0.746;0.777;0.838;0.842
0;B;1;80;0.379;0.367;0.407;0.383
0;B;2;80;0.617;0.651;0.702;0.691
0;B;3;80;0.983;1.015;1.093;1.108
0;B;4;80;0.93;1.021;1.146;1.191
0;B;1;80;0.296;0.29;0.312;0.299
0;B;2;80;0.557;0.58;0.61;0.603
0;B;3;80;0.898;0.932;0.992;1.013
0;B;4;80;0.848;0.944;1.06;1.107
0;B;1;100;0.342;0.339;0.359;0.35
0;B;2;100;0.541;0.566;0.613;0.602
0;B;3;100;0.887;0.927;0.986;1.014
0;B;4;100;0.794;0.901;1.027;1.068
0;B;1;100;0.351;0.343;0.375;0.356
0;B;2;100;0.61;0.637;0.683;0.677
0;B;3;100;0.899;0.931;1.023;1.051
0;B;4;100;0.896;1.021;1.166;1.232
0;flower;1;10;0.249;0.247;0.268;0.255
0;flower;2;10;0.197;0.191;0.208;0.197
0;flower;3;10;0.253;0.25;0.266;0.261
0;flower;4;10;0.296;0.296;0.309;0.304
0;flower;1;10;0.185;0.178;0.199;0.18
0;flower;2;10;0.161;0.156;0.164;0.151
0;flower;3;10;0.189;0.184;0.192;0.185
0;flower;4;10;0.207;0.204;0.211;0.205
0;flower;1;40;0.239;0.233;0.259;0.238
0;flower;2;40;0.237;0.23;0.25;0.23
0;flower;3;40;0.261;0.256;0.272;0.262
0;flower;4;40;0.251;0.249;0.265;0.255
0;flower;1;40;0.252;0.246;0.264;0.243
0;flower;2;40;0.252;0.248;0.265;0.247
0;flower;3;40;0.348;0.342;0.347;0.339
0;flower;4;40;0.324;0.32;0.329;0.317
0;flower;1;80;0.322;0.315;0.347;0.322
0;flower;2;80;0.304;0.297;0.32;0.304
0;flower;3;80;0.342;0.339;0.357;0.349
0;flower;4;80;0.351;0.348;0.374;0.361
0;flower;1;80;0.302;0.295;0.31;0.29
0;flower;2;80;0.265;0.257;0.268;0.261
0;flower;3;80;0.305;0.299;0.305;0.296
0;flower;4;80;0.294;0.289;0.303;0.29
0;flower;1;100;0.357;0.353;0.375;0.351
0;flower;2;100;0.341;0.334;0.36;0.341
0;flower;3;100;0.369;0.364;0.375;0.363
0;flower;4;100;0.336;0.339;0.363;0.345
0;flower;1;100;0.33;0.323;0.358;0.327
0;flower;2;100;0.349;0.342;0.365;0.345
0;flower;3;100;0.353;0.348;0.367;0.355
0;flower;4;100;0.344;0.342;0.362;0.349
10;leaves;1;10;0.242;0.251;0.226;0.218
10;leaves;2;10;0.244;0.254;0.229;0.225
10;leaves;3;10;0.291;0.289;0.279;0.268
10;leaves;4;10;0.229;0.23;0.216;0.206
10;leaves;1;10;0.214;0.232;0.204;0.196
10;leaves;2;10;0.182;0.202;0.176;0.171
10;leaves;3;10;0.189;0.196;0.182;0.175
10;leaves;4;10;0.167;0.173;0.159;0.154
10;leaves;1;40;0.264;0.278;0.249;0.239
10;leaves;2;40;0.305;0.318;0.293;0.289
10;leaves;3;40;0.276;0.282;0.262;0.259
10;leaves;4;40;0.305;0.307;0.292;0.291
10;leaves;1;40;0.283;0.374;0.283;0.275
10;leaves;2;40;0.294;0.4;0.29;0.287
10;leaves;3;40;0.293;0.404;0.289;0.284
10;leaves;4;40;0.253;0.416;0.254;0.244
10;leaves;1;80;0.358;0.338;0.341;0.332
10;leaves;2;80;0.385;0.374;0.37;0.366
10;leaves;3;80;0.398;0.388;0.38;0.372
10;leaves;4;80;0.402;0.369;0.388;0.371
10;leaves;1;80;0.318;0.369;0.321;0.317
10;leaves;2;80;0.353;0.522;0.357;0.355
10;leaves;3;80;0.372;0.428;0.377;0.373
10;leaves;4;80;0.348;0.5;0.344;0.327
10;leaves;1;100;0.355;0.374;0.35;0.346
10;leaves;2;100;0.509;0.414;0.506;0.506
10;leaves;3;100;0.426;0.419;0.422;0.42
10;leaves;4;100;0.485;0.456;0.477;0.458
10;leaves;1;100;0.358;0.238;0.342;0.337
10;leaves;2;100;0.399;0.681;0.389;0.386
10;leaves;3;100;0.412;0.414;0.405;0.403
10;leaves;4;100;0.443;0.417;0.424;0.407
10;B;1;10;0.233;0.238;0.224;0.22
10;B;2;10;0.678;0.68;0.675;0.672
10;B;3;10;0.414;0.141;0.411;0.402
10;B;4;10;0.42;0.417;0.413;0.413
10;B;1;10;0.307;0.324;0.308;0.31
10;B;2;10;0.113;0.124;0.11;0.108
10;B;3;10;0.404;0.412;0.402;0.401
10;B;4;10;0.451;0.472;0.478;0.478
10;B;1;40;0.455;0.466;0.448;0.458
10;B;2;40;0.853;0.865;0.853;0.854
10;B;3;40;0.902;0.912;0.898;0.907
10;B;4;40;1.211;1.222;1.219;1.227
10;B;1;40;0.485;0.503;0.489;0.491
10;B;2;40;0.747;0.769;0.767;0.77
10;B;3;40;0.928;0.952;0.944;0.94
10;B;4;40;1.009;1.032;1.026;1.023
10;B;1;80;0.396;0.404;0.383;0.384
10;B;2;80;0.841;0.851;0.834;0.841
10;B;3;80;1.355;1.369;1.374;1.399
10;B;4;80;1.563;1.572;1.567;1.581
10;B;1;80;0.308;0.325;0.312;0.32
10;B;2;80;0.728;0.745;0.732;0.741
10;B;3;80;1.277;1.298;1.302;1.315
10;B;4;80;1.469;1.489;1.5;1.517
10;B;1;100;0.353;0.368;0.352;0.352
10;B;2;100;0.716;0.733;0.714;0.726
10;B;3;100;1.307;1.338;1.341;1.349
10;B;4;100;1.439;1.465;1.462;1.481
10;B;1;100;0.363;0.377;0.357;0.358
10;B;2;100;0.804;0.818;0.804;0.81
10;B;3;100;1.34;1.365;1.357;1.377
10;B;4;100;1.733;1.75;1.761;1.786
10;flower;1;10;0.262;0.253;0.251;0.251
10;flower;2;10;0.209;0.2;0.197;0.2
10;flower;3;10;0.272;0.26;0.257;0.261
10;flower;4;10;0.308;0.294;0.295;0.297
10;flower;1;10;0.186;0.183;0.182;0.182
10;flower;2;10;0.154;0.155;0.154;0.155
10;flower;3;10;0.198;0.194;0.192;0.192
10;flower;4;10;0.205;0.2;0.204;0.201
10;flower;1;40;0.244;0.239;0.236;0.235
10;flower;2;40;0.239;0.234;0.233;0.232
10;flower;3;40;0.272;0.263;0.261;0.263
10;flower;4;40;0.26;0.249;0.25;0.252
10;flower;1;40;0.248;0.256;0.25;0.248
10;flower;2;40;0.246;0.253;0.252;0.246
10;flower;3;40;0.343;0.352;0.348;0.348
10;flower;4;40;0.322;0.322;0.32;0.323
10;flower;1;80;0.333;0.32;0.323;0.324
10;flower;2;80;0.319;0.313;0.311;0.311
10;flower;3;80;0.364;0.353;0.346;0.347
10;flower;4;80;0.369;0.356;0.357;0.36
10;flower;1;80;0.293;0.299;0.3;0.299
10;flower;2;80;0.267;0.274;0.277;0.274
10;flower;3;80;0.303;0.315;0.312;0.311
10;flower;4;80;0.294;0.297;0.296;0.297
10;flower;1;100;0.362;0.365;0.362;0.362
10;flower;2;100;0.351;0.354;0.351;0.346
10;flower;3;100;0.375;0.386;0.38;0.379
10;flower;4;100;0.357;0.358;0.354;0.356
10;flower;1;100;0.338;0.334;0.33;0.33
10;flower;2;100;0.357;0.356;0.357;0.355
10;flower;3;100;0.367;0.366;0.36;0.358
10;flower;4;100;0.364;0.357;0.356;0.36
20;leaves;1;10;0.241;0.27;0.256;0.25
20;leaves;2;10;0.245;0.273;0.259;0.252
20;leaves;3;10;0.285;0.309;0.306;0.3
20;leaves;4;10;0.227;0.251;0.24;0.231
20;leaves;1;10;0.217;0.242;0.228;0.23
20;leaves;2;10;0.188;0.211;0.196;0.196
20;leaves;3;10;0.195;0.209;0.198;0.197
20;leaves;4;10;0.168;0.187;0.177;0.172
20;leaves;1;40;0.264;0.295;0.281;0.277
20;leaves;2;40;0.312;0.341;0.327;0.322
20;leaves;3;40;0.284;0.309;0.292;0.289
20;leaves;4;40;0.303;0.322;0.311;0.306
20;leaves;1;40;0.293;0.314;0.305;0.312
20;leaves;2;40;0.306;0.326;0.312;0.314
20;leaves;3;40;0.31;0.328;0.311;0.313
