t;Extract;Temp;Cag;Rt;A_405;A_450;A_492;A_630
0;G;25;1;10;0.044;0.046;0.069;0.049
0;G;25;2;10;0.108;0.079;0.055;0.067
0;G;25;3;10;0.063;0.070;0.113;0.082
0;G;25;4;10;0.081;0.084;0.100;0.091
0;G;25;5;10;0.056;0.057;0.066;0.059
0;G;25;1;10;0.050;0.049;0.078;0.054
0;G;25;2;10;0.066;0.059;0.084;0.064
0;G;25;3;10;0.072;0.067;0.100;0.076
0;G;25;4;10;0.075;0.075;0.088;0.082
0;G;25;5;10;0.092;0.097;0.115;0.106
0;G;60;1;10;0.047;0.050;0.101;0.059
0;G;60;2;10;0.044;0.045;0.049;0.045
0;G;60;3;10;0.047;0.048;0.057;0.049
0;G;60;4;10;0.044;0.045;0.049;0.046
0;G;60;5;10;0.055;0.063;0.078;0.071
0;G;60;1;10;0.041;0.041;0.042;0.041
0;G;60;2;10;0.041;0.041;0.041;0.041
0;G;60;3;10;0.071;0.082;0.159;0.102
0;G;60;4;10;0.073;0.081;0.118;0.095
0;G;60;5;10;0.053;0.063;0.082;0.072
0;G;25;1;80;1.369;1.373;1.383;1.385
0;G;25;2;80;1.305;1.317;1.327;1.318
0;G;25;3;80;1.267;1.272;1.268;1.268
0;G;25;4;80;1.336;1.344;1.351;1.348
0;G;25;5;80;1.274;1.289;1.299;1.295
0;G;25;1;80;1.356;1.385;1.375;1.409
0;G;25;2;80;1.380;1.407;1.439;1.429
0;G;25;3;80;1.338;1.356;1.410;1.368
0;G;25;4;80;1.370;1.392;1.435;1.400
0;G;25;5;80;1.324;1.353;1.394;1.371
0;G;60;1;80;1.399;1.379;1.287;1.364
0;G;60;2;80;1.470;1.489;1.425;1.500
0;G;60;3;80;1.471;1.483;1.381;1.458
0;G;60;4;80;1.457;1.472;1.393;1.465
0;G;60;5;80;1.434;1.467;1.439;1.493
0;G;60;1;80;1.407;1.422;1.451;1.441
0;G;60;2;80;1.385;1.406;1.437;1.408
0;G;60;3;80;1.379;1.397;1.431;1.407
0;G;60;4;80;1.415;1.428;1.459;1.437
0;G;60;5;80;1.383;1.415;1.431;1.428
0;G;25;1;40;0.561;0.561;0.573;0.559
0;G;25;2;40;0.543;0.541;0.547;0.538
0;G;25;3;40;0.552;0.556;0.564;0.553
0;G;25;4;40;0.557;0.559;0.567;0.559
0;G;25;5;40;0.547;0.536;0.541;0.534
0;G;25;1;40;0.500;0.505;0.527;0.516
0;G;25;2;40;0.488;0.494;0.519;0.506
0;G;25;3;40;0.510;0.515;0.533;0.525
0;G;25;4;40;0.417;0.420;0.443;0.433
0;G;25;5;40;0.498;0.497;0.525;0.508
0;G;60;1;40;0.966;0.969;0.979;0.962
0;G;60;2;40;0.980;0.978;1.011;0.971
0;G;60;3;40;1.126;1.110;1.134;1.095
0;G;60;4;40;0.999;1.004;1.056;1.007
0;G;60;5;40;1.023;1.022;1.077;1.026
0;G;60;1;40;1.173;1.154;1.177;1.148
0;G;60;2;40;1.183;1.171;1.206;1.163
0;G;60;3;40;1.183;1.169;1.206;1.160
0;G;60;4;40;1.195;1.189;1.223;1.178
0;G;60;5;40;1.127;1.143;1.219;1.152
0;G;25;1;100;1.649;1.673;1.640;1.671
0;G;25;2;100;1.619;1.645;1.638;1.644
0;G;25;3;100;1.616;1.642;1.653;1.639
0;G;25;4;100;1.637;1.665;1.654;1.657
0;G;25;5;100;1.613;1.640;1.653;1.633
0;G;25;1;100;1.680;1.719;1.591;1.719
0;G;25;2;100;1.640;1.678;1.560;1.678
0;G;25;3;100;1.649;1.679;1.545;1.687
0;G;25;4;100;1.652;1.690;1.570;1.690
0;G;25;5;100;1.650;1.690;1.599;1.690
0;G;60;1;100;1.893;1.866;1.604;1.780
0;G;60;2;100;1.837;1.849;1.545;1.745
0;G;60;3;100;1.857;1.898;1.588;1.794
0;G;60;4;100;1.900;1.925;1.582;1.786
0;G;60;5;100;1.868;1.899;1.617;1.839
0;G;60;1;100;1.835;1.864;1.757;1.886
0;G;60;2;100;1.817;1.849;1.822;1.866
0;G;60;3;100;1.857;1.892;1.784;1.895
0;G;60;4;100;1.836;1.861;1.840;1.874
0;G;60;5;100;1.840;1.879;1.812;1.874
10;G;25;1;10;0.327;0.312;0.310;0.317
10;G;25;2;10;0.280;0.267;0.269;0.274
10;G;25;3;10;0.311;0.317;0.322;0.325
10;G;25;4;10;0.344;0.341;0.358;0.360
10;G;25;5;10;0.306;0.301;0.312;0.317
10;G;25;1;10;0.292;0.280;0.277;0.280
10;G;25;2;10;0.317;0.317;0.308;0.311
10;G;25;3;10;0.285;0.287;0.293;0.302
10;G;25;4;10;0.268;0.272;0.272;0.282
10;G;25;5;10;0.273;0.270;0.268;0.269
10;G;60;1;10;0.257;0.258;0.260;0.258
10;G;60;2;10;0.272;0.261;0.263;0.262
10;G;60;3;10;0.254;0.255;0.258;0.264
10;G;60;4;10;0.280;0.278;0.280;0.280
10;G;60;5;10;0.267;0.261;0.261;0.262
10;G;60;1;10;0.311;0.307;0.311;0.308
10;G;60;2;10;0.557;0.544;0.535;0.534
10;G;60;3;10;0.292;0.290;0.298;0.299
10;G;60;4;10;0.282;0.275;0.279;0.282
10;G;60;5;10;0.256;0.257;0.263;0.266
10;G;25;1;80;1.522;1.534;1.596;1.615
10;G;25;2;80;1.568;1.577;1.620;1.634
10;G;25;3;80;1.507;1.515;1.560;1.577
10;G;25;4;80;1.589;1.598;1.626;1.631
10;G;25;5;80;1.587;1.577;1.581;1.592
10;G;25;1;80;1.547;1.549;1.583;1.581
10;G;25;2;80;1.632;1.627;1.621;1.625
10;G;25;3;80;1.392;1.383;1.370;1.364
10;G;25;4;80;1.625;1.619;1.621;1.617
10;G;25;5;80;1.557;1.551;1.552;1.557
10;G;60;1;80;1.603;1.597;1.684;1.708
10;G;60;2;80;1.661;1.663;1.712;1.719
10;G;60;3;80;1.689;1.681;1.719;1.731
10;G;60;4;80;1.649;1.649;1.703;1.715
10;G;60;5;80;1.692;1.688;1.685;1.691
10;G;60;1;80;1.668;1.651;1.637;1.644
10;G;60;2;80;1.682;1.675;1.665;1.670
10;G;60;3;80;1.709;1.711;1.703;1.709
10;G;60;4;80;1.722;1.718;1.704;1.719
10;G;60;5;80;1.668;1.664;1.658;1.666
10;G;25;1;40;0.867;0.856;0.867;0.874
10;G;25;2;40;0.922;0.895;0.897;0.905
10;G;25;3;40;0.875;0.865;0.885;0.902
10;G;25;4;40;0.914;0.905;0.930;0.959
10;G;25;5;40;1.011;0.998;1.036;1.069
10;G;25;1;40;0.827;0.814;0.819;0.821
10;G;25;2;40;0.780;0.773;0.771;0.777
10;G;25;3;40;0.872;0.851;0.863;0.869
10;G;25;4;40;0.791;0.774;0.774;0.786
10;G;25;5;40;0.889;0.884;0.910;0.931
10;G;60;1;40;0.861;0.852;0.857;0.857
10;G;60;2;40;0.879;0.874;0.869;0.865
10;G;60;3;40;0.869;0.866;0.864;0.862
10;G;60;4;40;0.913;0.909;0.910;0.910
10;G;60;5;40;0.929;0.923;0.932;0.939
10;G;60;1;40;0.935;0.929;0.921;0.913
10;G;60;2;40;0.950;0.953;0.933;0.915
10;G;60;3;40;0.943;0.935;0.932;0.922
10;G;60;4;40;0.979;0.966;0.961;0.949
10;G;60;5;40;0.998;0.993;0.997;0.990
10;G;25;1;100;1.802;1.824;1.823;1.823
10;G;25;2;100;1.787;1.826;1.804;1.813
10;G;25;3;100;1.814;1.843;1.831;1.845
10;G;25;4;100;1.802;1.835;1.800;1.811
10;G;25;5;100;1.773;1.823;1.785;1.784
10;G;25;1;100;1.897;1.886;1.884;1.885
10;G;25;2;100;1.840;1.832;1.830;1.831
10;G;25;3;100;1.924;1.917;1.917;1.910
10;G;25;4;100;1.887;1.906;1.892;1.902
10;G;25;5;100;1.896;1.931;1.908;1.923
10;G;60;1;100;2.067;2.075;2.062;2.082
10;G;60;2;100;1.990;2.000;2.002;2.010
10;G;60;3;100;2.060;2.083;2.066;2.091
10;G;60;4;100;2.022;2.041;2.035;2.045
10;G;60;5;100;2.075;2.124;2.100;2.114
10;G;60;1;100;1.975;1.960;1.957;1.971
10;G;60;2;100;2.030;2.023;2.010;2.025
10;G;60;3;100;2.107;2.100;2.087;2.104
10;G;60;4;100;2.083;2.072;2.058;2.075
10;G;60;5;100;2.174;2.176;2.154;2.175
20;G;25;1;10;0.340;0.342;0.362;0.371
20;G;25;2;10;0.581;0.327;0.350;0.353
20;G;25;3;10;0.469;0.563;0.577;0.597
20;G;25;4;10;0.380;0.459;0.469;0.469
20;G;25;5;10;0.154;0.400;0.393;0.405
20;G;25;1;10;0.299;0.293;0.307;0.318
20;G;25;2;10;0.407;0.410;0.421;0.442
20;G;25;3;10;0.549;0.528;0.539;0.574
20;G;25;4;10;0.405;0.388;0.398;0.408
20;G;25;5;10;0.411;0.421;0.380;0.419
20;G;60;1;10;0.340;0.324;0.330;0.343
20;G;60;2;10;0.310;0.300;0.307;0.319
20;G;60;3;10;0.350;0.345;0.352;0.375
20;G;60;4;10;0.306;0.322;0.315;0.326
20;G;60;5;10;0.331;0.339;0.318;0.340
20;G;60;1;10;0.363;0.367;0.373;0.384
20;G;60;2;10;0.430;0.471;0.453;0.437
20;G;60;3;10;0.395;0.399;0.416;0.430
20;G;60;4;10;0.326;0.329;0.341;0.356
20;G;60;5;10;0.356;0.370;0.347;0.372
20;G;25;1;80;1.557;1.498;1.603;1.608
20;G;25;2;80;1.574;1.533;1.599;1.593
20;G;25;3;80;1.553;1.500;1.641;1.611
20;G;25;4;80;1.563;1.537;1.601;1.611
20;G;25;5;80;1.567;1.557;1.575;1.579
20;G;25;1;80;1.440;1.377;1.591;1.513
20;G;25;2;80;1.568;1.509;1.683;1.645
20;G;25;3;80;1.416;1.418;1.389;1.401
20;G;25;4;80;1.506;1.465;1.655;1.578
20;G;25;5;80;1.548;1.534;1.601;1.626
20;G;60;1;80;1.415;1.333;1.638;1.521
20;G;60;2;80;1.500;1.427;1.712;1.611
20;G;60;3;80;1.488;1.401;1.704;1.595
20;G;60;4;80;1.480;1.431;1.681;1.579
20;G;60;5;80;1.523;1.508;1.724;1.631
20;G;60;1;80;1.602;1.518;1.643;1.655
20;G;60;2;80;1.638;1.592;1.704;1.713
20;G;60;3;80;1.713;1.631;1.744;1.750
20;G;60;4;80;1.591;1.549;1.748;1.680
20;G;60;5;80;1.650;1.638;1.694;1.713
20;G;25;1;40;0.850;0.853;0.862;0.862
20;G;25;2;40;0.879;0.884;0.889;0.889
20;G;25;3;40;1.176;1.206;1.225;1.261
20;G;25;4;40;1.261;1.275;1.292;1.313
20;G;25;5;40;1.381;1.406;1.453;1.456
20;G;25;1;40;0.805;0.806;0.789;0.797
