Wavelength;4_21_2023;4_21_2023;5_12_2023;5_12_2023;4_21_2023;4_21_2023;4_21_2023;4_21_2023;4_21_2023;4_21_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023
190;-0.139;-0.806;-0.873;-0.873;6.407;5.317;4.652;4.466;3.826;3.116;255.055;274.786;23.82;24.218;293.688;200.297;199.775;474.469;144.204;448.195;80.167;79.452;62.609;25.329;26.501;27.335
190.5;-0.089;-0.765;-0.834;-0.834;6.363;5.145;4.765;4.432;3.784;2.928;251.533;272.451;24.139;24.046;293.114;201.141;202.119;480.517;143.818;463.601;79.694;79.993;63.117;25.098;26.082;27.491
191;-0.206;-0.736;-0.805;-0.805;6.472;4.915;4.672;4.346;3.791;3.086;250.525;269.695;24.119;24.326;293.523;199.742;204.504;484.893;144.216;477.051;80.453;79.394;63.143;25.118;25.944;27.527
191.5;-0.104;-0.723;-0.777;-0.777;6.388;4.927;4.458;4.428;3.883;3.323;250.252;269.161;23.917;24.636;292.995;199.754;204.433;486.877;143.41;485.071;80.316;80.117;63.167;25.261;25.967;27.277
192;-0.2;-0.703;-0.758;-0.758;6.39;4.973;4.234;4.606;3.539;3.28;250.039;266.904;23.79;24.493;289.59;199.845;203.955;484.537;143.995;488.148;80.702;79.296;63.253;25.224;25.981;26.867
192.5;-0.083;-0.696;-0.724;-0.724;6.252;4.935;4.078;4.532;3.28;3.141;249.463;266.444;23.594;24.124;288.4;199.934;202.903;493.914;145.195;493.266;81.516;79.031;63.596;25.248;25.934;26.529
193;-0.023;-0.696;-0.697;-0.685;6.059;4.775;4.02;4.478;3.127;3.027;247.077;266.249;23.296;23.967;288.209;199.961;200.711;495.834;147.172;497.373;81.888;79.209;63.158;25.148;25.887;26.219
193.5;-0.005;-0.672;-0.654;-0.642;5.766;4.62;4.118;4.375;2.714;3.126;246.202;264.406;22.889;23.777;285.324;199.509;197.539;499.415;149.633;496.509;82.883;79.371;62.532;24.867;25.673;25.945
194;-0.089;-0.648;-0.595;-0.611;5.643;4.382;4.087;4.298;2.64;3.249;242.563;261.718;22.775;23.628;283.802;198.642;195.613;503.701;149.342;496.239;83.26;79.24;62.715;24.59;25.513;25.76
194.5;0.011;-0.632;-0.554;-0.591;5.532;4.317;4.07;4.294;2.683;3.081;239.773;258.775;22.447;23.369;280.983;196.794;193.306;509.914;148.059;500.563;82.466;78.971;62.149;24.579;25.328;25.662
195;-0.033;-0.613;-0.529;-0.58;5.552;4.307;4.114;4.328;2.814;3.205;236.534;254.984;22.473;23.155;277.605;194.324;191.471;520.744;146.121;509.321;81.994;78.843;61.014;24.187;25.125;25.429
195.5;0.101;-0.599;-0.504;-0.562;5.485;4.182;4.045;4.414;2.954;3.268;233.581;251.187;22.548;23.138;274.95;190.632;190.475;525.809;145.055;508.228;81.487;77.837;59.657;24.217;24.859;25.488
196;0.141;-0.595;-0.492;-0.55;5.631;4.135;3.974;4.252;3.289;3.355;230.895;247.084;22.475;23.165;272.335;186.471;189.269;525.717;144.705;507.807;80.924;77.298;58.551;24.177;24.586;25.284
196.5;0.306;-0.587;-0.491;-0.542;5.726;4.352;3.756;4.335;3.291;3.307;227.215;244.934;22.312;22.894;268.467;185.21;187.316;524.539;143.326;502.545;80.229;77.213;58.055;24.11;24.505;25.307
197;0.235;-0.58;-0.5;-0.538;5.707;4.482;3.69;4.196;2.993;3.127;224.527;242.581;22.369;22.881;264.405;182.626;184.71;520.635;143.886;497.345;79.16;76.104;57.303;23.914;24.428;25.135
197.5;0.265;-0.57;-0.506;-0.523;5.512;4.517;3.741;4.071;3.061;3.02;221.341;240.834;22.211;22.949;260.595;179.358;182.163;515.208;144.947;491.703;78.897;75.863;56.562;23.688;24.044;24.762
198;0.23;-0.55;-0.519;-0.504;5.237;4.395;3.626;3.769;2.467;2.784;218.967;238.099;21.978;22.698;256.099;176.214;178.414;506.817;146.62;485.993;78.34;75.436;55.31;23.212;23.815;24.31
198.5;0.088;-0.524;-0.493;-0.487;4.777;4.34;3.616;3.586;1.911;2.651;216.504;234.32;21.684;22.448;251.133;173.314;173.912;496.411;147.125;478.889;77.77;73.877;54.375;22.983;23.581;23.937
199;-0.18;-0.5;-0.457;-0.457;4.584;4.286;3.312;3.283;1.896;2.469;212.027;230.559;21.608;22.176;248.404;169.615;169.867;493.472;146.733;477.375;76.066;71.629;53.488;22.818;23.6;23.539
199.5;-0.381;-0.486;-0.435;-0.435;4.387;4.231;3.212;2.921;1.632;2.345;208.328;226.394;21.309;22.057;245.068;165.373;165.662;489.952;146.401;480.262;73.953;70.259;52.683;22.49;23.327;23.167
200;-0.446;-0.472;-0.415;-0.415;4.226;4.049;3.17;2.794;1.639;2.522;205.187;222.395;21.228;21.923;242.094;161.06;161.442;482.544;145.922;480.885;72.213;68.932;51.367;22.196;23.116;22.798
200.5;-0.387;-0.472;-0.398;-0.398;4.156;3.76;2.818;2.715;1.767;2.265;202.206;219.379;21.077;21.66;240.041;156.648;156.968;475.02;145.52;478.008;70.416;67.284;50.411;22.044;22.817;22.627
201;-0.484;-0.473;-0.389;-0.389;4.308;3.577;2.696;2.711;1.904;2.145;198.979;216.855;20.889;21.292;237.458;153.014;152.788;472.423;144.955;476.139;68.97;66.185;49.566;21.923;22.502;22.471
201.5;-0.552;-0.466;-0.39;-0.39;4.514;3.535;2.404;2.943;1.785;2.233;196.187;214.911;20.785;21.065;235.23;150.574;149.635;476.692;143.868;477.862;67.302;64.928;48.657;21.978;22.419;22.403
